[0.000000] (-) TimerEvent: {}
[0.000134] (-) JobUnselected: {'identifier': 'mecharm'}
[0.000226] (-) JobUnselected: {'identifier': 'mecharm_communication'}
[0.000239] (-) JobUnselected: {'identifier': 'mecharm_interfaces'}
[0.000250] (-) JobUnselected: {'identifier': 'mecharm_pi'}
[0.000259] (-) JobUnselected: {'identifier': 'my_py_pkg'}
[0.000278] (-) JobUnselected: {'identifier': 'myarm_300'}
[0.000427] (-) JobUnselected: {'identifier': 'myarm_c650'}
[0.000536] (-) JobUnselected: {'identifier': 'myarm_m750'}
[0.000560] (-) JobUnselected: {'identifier': 'mybuddy'}
[0.000572] (-) JobUnselected: {'identifier': 'mycobot_280'}
[0.000581] (-) JobUnselected: {'identifier': 'mycobot_280_x3pi'}
[0.000591] (-) JobUnselected: {'identifier': 'mycobot_280jn'}
[0.000601] (-) JobUnselected: {'identifier': 'mycobot_280pi'}
[0.000610] (-) JobUnselected: {'identifier': 'mycobot_320'}
[0.000619] (-) JobUnselected: {'identifier': 'mycobot_320pi'}
[0.000628] (-) JobUnselected: {'identifier': 'mycobot_600'}
[0.000638] (-) JobUnselected: {'identifier': 'mycobot_630'}
[0.000647] (-) JobUnselected: {'identifier': 'mycobot_communication'}
[0.000656] (-) JobUnselected: {'identifier': 'mycobot_description'}
[0.000666] (-) JobUnselected: {'identifier': 'mycobot_interfaces'}
[0.000676] (-) JobUnselected: {'identifier': 'mypalletizer_260'}
[0.000684] (-) JobUnselected: {'identifier': 'mypalletizer_260_pi'}
[0.000694] (-) JobUnselected: {'identifier': 'mypalletizer_communication'}
[0.000703] (-) JobUnselected: {'identifier': 'mypalletizer_interfaces'}
[0.000712] (-) JobUnselected: {'identifier': 'ultraarm'}
[0.000722] (-) EventReactorShutdown: {}
